group,subfolder,document,type,url
"Electrical Disconnect","","Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Felectrical-disconnect%2Fdata-sheet.pdf"
"Electrical Disconnect","","Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Felectrical-disconnect%2Fsales-sheet.pdf"
"Elevated Stack","Tower/Stack Securement - 2000 Series U-Anchor","Tower/Stack Securement   2000 Series U Anchor — Assembly","STEP","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Felevated-stack%2FTower%2FStack%20Securement%20-%202000%20Series%20U-Anchor%2Fassembly.step"
"Elevated Stack","Tower/Stack Securement - 2000 Series U-Anchor","Tower/Stack Securement   2000 Series U Anchor — Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Felevated-stack%2FTower%2FStack%20Securement%20-%202000%20Series%20U-Anchor%2Fcad.dwg"
"Elevated Stack","Tower/Stack Securement - 2000 Series U-Anchor","Tower/Stack Securement   2000 Series U Anchor — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Felevated-stack%2FTower%2FStack%20Securement%20-%202000%20Series%20U-Anchor%2Fdata-sheet.pdf"
"Elevated Stack","Tower/Stack Securement - 2000 Series U-Anchor","Tower/Stack Securement   2000 Series U Anchor — Install Manual","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Felevated-stack%2FTower%2FStack%20Securement%20-%202000%20Series%20U-Anchor%2Finstall-manual.pdf"
"Elevated Stack","Tower/Stack Securement - 2000 Series U-Anchor","Tower/Stack Securement   2000 Series U Anchor — Intake Form","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Felevated-stack%2FTower%2FStack%20Securement%20-%202000%20Series%20U-Anchor%2Fintake-form.pdf"
"Elevated Stack","Tower/Stack Securement - 2000 Series U-Anchor","Tower/Stack Securement   2000 Series U Anchor — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Felevated-stack%2FTower%2FStack%20Securement%20-%202000%20Series%20U-Anchor%2Fsales-sheet.pdf"
"Elevated Stack","wall-stack","Wall Stack — Assembly","STEP","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Felevated-stack%2Fwall-stack%2Fassembly.step"
"Equipment Screen","","Assembly","STEP","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fequipment-screen%2Fassembly.step"
"Equipment Screen","","Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fequipment-screen%2Fsales-sheet.pdf"
"Existing Mechanical Tie Down","","Assembly","STEP","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fexisting-mechanical-tie-down%2Fassembly.step"
"Existing Mechanical Tie Down","","Case Study Houston Space Center","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fexisting-mechanical-tie-down%2Fcase-study-houston-space-center.pdf"
"Existing Mechanical Tie Down","","Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fexisting-mechanical-tie-down%2Fdata-sheet.pdf"
"Existing Mechanical Tie Down","","Install Manual","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fexisting-mechanical-tie-down%2Finstall-manual.pdf"
"Existing Mechanical Tie Down","","Intake Form","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fexisting-mechanical-tie-down%2Fintake-form.pdf"
"Existing Mechanical Tie Down","","Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fexisting-mechanical-tie-down%2Fsales-sheet.pdf"
"Guy Wire Kit","","Assembly","STEP","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fguy-wire-kit%2Fassembly.step"
"Guy Wire Kit","","Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fguy-wire-kit%2Fdata-sheet.pdf"
"Guy Wire Kit","","Install Manual","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fguy-wire-kit%2Finstall-manual.pdf"
"Guy Wire Kit","","Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fguy-wire-kit%2Fsales-sheet.pdf"
"Large Electrical Box Frame W 3000 Series U Anchor","","Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Flarge-electrical-box-frame-w-3000-series-u-anchor%2FSales-Sheet.pdf"
"Large Electrical Box Frame W 3000 Series U Anchor","","Data Sheet DataSheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Flarge-electrical-box-frame-w-3000-series-u-anchor%2Fdata-sheet-DataSheet.pdf"
"Large Electrical Box Frame W 3000 Series U Anchor","","Data Sheet InstallSheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Flarge-electrical-box-frame-w-3000-series-u-anchor%2Fdata-sheet-InstallSheet.pdf"
"Light Mount","","Assembly","STEP","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Flight-mount%2Fassembly.step"
"Light Mount","","Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Flight-mount%2Fdata-sheet.pdf"
"Light Mount","","Install Manual","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Flight-mount%2Finstall-manual.pdf"
"Light Mount","","Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Flight-mount%2Fsales-sheet.pdf"
"Lightning","","Case Study Space Center Houston","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Flightning%2Fcase-study-space-center-houston.pdf"
"Lightning","","Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Flightning%2Fsales-sheet.pdf"
"Medium Electrical Box Frame W 3000 Series U Anchor","","Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fmedium-electrical-box-frame-w-3000-series-u-anchor%2FData-Sheet.pdf"
"Medium Electrical Box Frame W 3000 Series U Anchor","","Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fmedium-electrical-box-frame-w-3000-series-u-anchor%2FSales-Sheet.pdf"
"Pipe Frame","attached","Attached — Assembly","STEP","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpipe-frame%2Fattached%2Fassembly.step"
"Pipe Frame","attached","Attached — Data Sheet 24x24 Standard","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpipe-frame%2Fattached%2Fdata-sheet-24x24-standard.pdf"
"Pipe Frame","attached","Attached — Data Sheet 36x36 Standard","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpipe-frame%2Fattached%2Fdata-sheet-36x36-standard.pdf"
"Pipe Frame","attached","Attached — Data Sheet 36x48 Standard","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpipe-frame%2Fattached%2Fdata-sheet-36x48-standard.pdf"
"Pipe Frame","attached","Attached — Install Guide","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpipe-frame%2Fattached%2Finstall-guide.pdf"
"Pipe Frame","attached","Attached — Intake Form","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpipe-frame%2Fattached%2Fintake-form.pdf"
"Pipe Frame","attached","Attached — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpipe-frame%2Fattached%2Fsales-sheet.pdf"
"Pipe Frame","exisiting","Exisiting — Assembly","STEP","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpipe-frame%2Fexisiting%2Fassembly.step"
"Pipe Frame","exisiting","Exisiting — Case Study Houston Space Center","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpipe-frame%2Fexisiting%2Fcase-study-houston-space-center.pdf"
"Pipe Frame","exisiting","Exisiting — Data Sheet 24x24 Standard","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpipe-frame%2Fexisiting%2Fdata-sheet-24x24-standard.pdf"
"Pipe Frame","exisiting","Exisiting — Data Sheet 36x36 Standard","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpipe-frame%2Fexisiting%2Fdata-sheet-36x36-standard.pdf"
"Pipe Frame","exisiting","Exisiting — Data Sheet 36x48 Standard","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpipe-frame%2Fexisiting%2Fdata-sheet-36x48-standard.pdf"
"Pipe Frame","exisiting","Exisiting — Install Guide","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpipe-frame%2Fexisiting%2Finstall-guide.pdf"
"Pipe Frame","exisiting","Exisiting — Intake Form","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpipe-frame%2Fexisiting%2Fintake-form.pdf"
"Pipe Frame","exisiting","Exisiting — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpipe-frame%2Fexisiting%2Fsales-sheet.pdf"
"Pipe Securement Utility Corridor","","Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpipe-securement-utility-corridor%2FData-Sheet.pdf"
"Pss 0305 Pipe Securement 6 Base","","Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpss-0305-pipe-securement-6-base%2FData-Sheet.pdf"
"Pss 0305 Pipe Securement 6 Base","","Install Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpss-0305-pipe-securement-6-base%2FInstall-Sheet.pdf"
"Pss 0310 Pipe Support Securement Strut Assembly","","Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpss-0310-pipe-support-securement-strut-assembly%2FData-Sheet.pdf"
"Pss 0310 Pipe Support Securement Strut Assembly","","Install Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpss-0310-pipe-support-securement-strut-assembly%2FInstall-Sheet.pdf"
"Pss 0310 Pipe Support Securement Strut Assembly","","Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpss-0310-pipe-support-securement-strut-assembly%2FSales-Sheet.pdf"
"Pss 0320 Pipe Support Securement Roller Assembly","","Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpss-0320-pipe-support-securement-roller-assembly%2FData-Sheet.pdf"
"Pss 0320 Pipe Support Securement Roller Assembly","","Install Guide","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpss-0320-pipe-support-securement-roller-assembly%2Finstall-guide.pdf"
"Pss 0320 Pipe Support Securement Roller Assembly","","Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpss-0320-pipe-support-securement-roller-assembly%2Fsales-sheet.pdf"
"Roof Box","","Assembly","STEP","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-box%2Fassembly.step"
"Roof Box","","Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-box%2Fdata-sheet.pdf"
"Roof Box","","Install Manual","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-box%2Finstall-manual.pdf"
"Roof Box","","Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-box%2Fsales-sheet.pdf"
"Roof Guardrail","","Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-guardrail%2Fdata-sheet.pdf"
"Roof Guardrail","","Install Manual","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-guardrail%2Finstall-manual.pdf"
"Roof Guardrail","","Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-guardrail%2Fsales-sheet.pdf"
"Roof Ladder","","Assembly","STEP","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-ladder%2Fassembly.step"
"Roof Ladder","","Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-ladder%2Fdata-sheet.pdf"
"Roof Ladder","","Install Manual","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-ladder%2Finstall-manual.pdf"
"Roof Ladder","","Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-ladder%2Fsales-sheet.pdf"
"Roof Stairs Walkways","double-stair","Double Stair — Assembly","STEP","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-stairs-walkways%2Fdouble-stair%2Fassembly.step"
"Roof Stairs Walkways","single-stair","Single Stair — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-stairs-walkways%2Fsingle-stair%2Fdata-sheet.pdf"
"Roof Stairs Walkways","single-stair","Single Stair — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-stairs-walkways%2Fsingle-stair%2Fsales-sheet.pdf"
"Satellite Dish","","Assembly","STEP","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsatellite-dish%2Fassembly.step"
"Satellite Dish","","Install Manual","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsatellite-dish%2Finstall-manual.pdf"
"Satellite Dish","","Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsatellite-dish%2Fsales-sheet.pdf"
"Signage","","Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsignage%2Fsales-sheet.pdf"
"Small Electrical Box Frame W 3000 Series U Anchor","","Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsmall-electrical-box-frame-w-3000-series-u-anchor%2FSales-Sheet.pdf"
"Small Electrical Box Frame W 3000 Series U Anchor","","Data Sheet DataSheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsmall-electrical-box-frame-w-3000-series-u-anchor%2Fdata-sheet-DataSheet.pdf"
"Snow Retention","2-pipe-snow-fence","2 Pipe Snow Fence — Assembly","STEP","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsnow-retention%2F2-pipe-snow-fence%2Fassembly.step"
"Snow Retention","2-pipe-snow-fence","2 Pipe Snow Fence — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsnow-retention%2F2-pipe-snow-fence%2Fdata-sheet.pdf"
"Snow Retention","2-pipe-snow-fence","2 Pipe Snow Fence — Install Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsnow-retention%2F2-pipe-snow-fence%2Finstall-sheet.pdf"
"Snow Retention","2-pipe-snow-fence","2 Pipe Snow Fence — Intake Form","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsnow-retention%2F2-pipe-snow-fence%2Fintake-form.pdf"
"Snow Retention","2-pipe-snow-fence","2 Pipe Snow Fence — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsnow-retention%2F2-pipe-snow-fence%2Fsales-sheet.pdf"
"Snow Retention","unitized-snow-fence","Unitized Snow Fence — Assembly","STEP","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsnow-retention%2Funitized-snow-fence%2Fassembly.step"
"Snow Retention","unitized-snow-fence","Unitized Snow Fence — Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsnow-retention%2Funitized-snow-fence%2Fdata-sheet.pdf"
"Snow Retention","unitized-snow-fence","Unitized Snow Fence — Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsnow-retention%2Funitized-snow-fence%2Fsales-sheet.pdf"
"Solar","","Assembly","STEP","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsolar%2Fassembly.step"
"Solar","","Case Study Carribean Va","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsolar%2Fcase-study-carribean-va.pdf"
"Solar","","Case Study Golden1","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsolar%2Fcase-study-golden1.pdf"
"Solar","","Case Study Ipark","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsolar%2Fcase-study-ipark.pdf"
"Solar","","Case Study Mandalay Bay","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsolar%2Fcase-study-mandalay-bay.pdf"
"Solar","","Case Study Super Target","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fsolar%2Fcase-study-super-target.pdf"
"Specifications","","Anchor Products Guide Spec U2000 U3000 REV 2.00","DOCX","https://anchor-sales-copilot.vercel.app/api/public/doc?path=spec%2FAnchor%20Products%20Guide%20Spec%20U2000%20U3000%20REV%202.00.docx"
"Specifications","","Anchor Products Spec V1","DOCX","https://anchor-sales-copilot.vercel.app/api/public/doc?path=spec%2Fanchor-products-spec-v1.docx"
"Wall Box","","Assembly","STEP","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fwall-box%2Fassembly.step"
"Wall Box","","Install Manual","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fwall-box%2Finstall-manual.pdf"
"Wall Guardrail","","Assembly","STEP","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fwall-guardrail%2Fassembly.step"
"Wall Guardrail","","Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fwall-guardrail%2Fdata-sheet.pdf"
"Wall Guardrail","","Install Manual","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fwall-guardrail%2Finstall-manual.pdf"
"Wall Guardrail","","Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fwall-guardrail%2Fsales-sheet.pdf"
"Weather Station","","Assembly","STEP","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fweather-station%2Fassembly.step"
"Weather Station","","Cad","DWG","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fweather-station%2Fcad.dwg"
"Weather Station","","Case Study Houston Space Center","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fweather-station%2Fcase-study-houston-space-center.pdf"
"Weather Station","","Data Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fweather-station%2Fdata-sheet.pdf"
"Weather Station","","Sales Sheet","PDF","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fweather-station%2Fsales-sheet.pdf"
