status,card,type,bucket_path,url
matched,"Elevated Stack Sales Sheet","Sales Sheet","solutions/elevated-stack/Tower/Stack Securement - 2000 Series U-Anchor/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Felevated-stack%2FTower%2FStack%20Securement%20-%202000%20Series%20U-Anchor%2Fsales-sheet.pdf"
matched,"Elevated Stack Spec","Spec","spec/Anchor Products Guide Spec U2000 U3000 REV 2.00.docx","https://anchor-sales-copilot.vercel.app/api/public/doc?path=spec%2FAnchor%20Products%20Guide%20Spec%20U2000%20U3000%20REV%202.00.docx"
matched,"Equipment Screen Sales Sheet","Sales Sheet","solutions/equipment-screen/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fequipment-screen%2Fsales-sheet.pdf"
matched,"Equipment Screen Spec","Spec","spec/Anchor Products Guide Spec U2000 U3000 REV 2.00.docx","https://anchor-sales-copilot.vercel.app/api/public/doc?path=spec%2FAnchor%20Products%20Guide%20Spec%20U2000%20U3000%20REV%202.00.docx"
matched,"Equipment Screen Step File","Step File","solutions/equipment-screen/assembly.step","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fequipment-screen%2Fassembly.step"
matched,"Existing Frame Data Sheet","Data Sheet","solutions/pipe-frame/exisiting/data-sheet-24x24-standard.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpipe-frame%2Fexisiting%2Fdata-sheet-24x24-standard.pdf"
matched,"Existing Frame Install Sheet","Install Sheet","solutions/pipe-frame/exisiting/install-guide.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpipe-frame%2Fexisiting%2Finstall-guide.pdf"
matched,"Existing Frame Sales Sheet","Sales Sheet","solutions/pipe-frame/exisiting/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fpipe-frame%2Fexisiting%2Fsales-sheet.pdf"
matched,"Existing Frame Spec","Spec","spec/Anchor Products Guide Spec U2000 U3000 REV 2.00.docx","https://anchor-sales-copilot.vercel.app/api/public/doc?path=spec%2FAnchor%20Products%20Guide%20Spec%20U2000%20U3000%20REV%202.00.docx"
matched,"Existing Mechanical Tie Down Data Sheet","Data Sheet","solutions/existing-mechanical-tie-down/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fexisting-mechanical-tie-down%2Fdata-sheet.pdf"
matched,"Existing Mechanical Tie Down Installation Sheet","Installation Sheet","solutions/existing-mechanical-tie-down/install-manual.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fexisting-mechanical-tie-down%2Finstall-manual.pdf"
matched,"Existing Mechanical Tie Down Sales Sheet","Sales Sheet","solutions/existing-mechanical-tie-down/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fexisting-mechanical-tie-down%2Fsales-sheet.pdf"
matched,"Existing Mechanical Tie Down Spec","Spec","spec/Anchor Products Guide Spec U2000 U3000 REV 2.00.docx","https://anchor-sales-copilot.vercel.app/api/public/doc?path=spec%2FAnchor%20Products%20Guide%20Spec%20U2000%20U3000%20REV%202.00.docx"
matched,"Existing Mechanical Tie Down Step File","Step File","solutions/existing-mechanical-tie-down/assembly.step","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fexisting-mechanical-tie-down%2Fassembly.step"
matched,"Guy Wire Data Sheet","Data Sheet","solutions/guy-wire-kit/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fguy-wire-kit%2Fdata-sheet.pdf"
matched,"Guy Wire Installation Sheet","Installation Sheet","solutions/guy-wire-kit/install-manual.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fguy-wire-kit%2Finstall-manual.pdf"
matched,"Guy Wire Sales Sheet","Sales Sheet","solutions/guy-wire-kit/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fguy-wire-kit%2Fsales-sheet.pdf"
matched,"Guy Wire Spec","Spec","spec/Anchor Products Guide Spec U2000 U3000 REV 2.00.docx","https://anchor-sales-copilot.vercel.app/api/public/doc?path=spec%2FAnchor%20Products%20Guide%20Spec%20U2000%20U3000%20REV%202.00.docx"
matched,"Guy Wire Step File","Step File","solutions/guy-wire-kit/assembly.step","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Fguy-wire-kit%2Fassembly.step"
matched,"Light Mount Data Sheet","Data Sheet","solutions/light-mount/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Flight-mount%2Fdata-sheet.pdf"
matched,"Light Mount Installation Sheet","Installation Sheet","solutions/light-mount/install-manual.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Flight-mount%2Finstall-manual.pdf"
matched,"Light Mount Sales Sheet","Sales Sheet","solutions/light-mount/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Flight-mount%2Fsales-sheet.pdf"
matched,"Light Mount Spec","Spec","spec/Anchor Products Guide Spec U2000 U3000 REV 2.00.docx","https://anchor-sales-copilot.vercel.app/api/public/doc?path=spec%2FAnchor%20Products%20Guide%20Spec%20U2000%20U3000%20REV%202.00.docx"
matched,"Light Mount Step File","Step File","solutions/light-mount/assembly.step","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Flight-mount%2Fassembly.step"
matched,"Lightning Sales Sheet","Sales Sheet","solutions/lightning/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Flightning%2Fsales-sheet.pdf"
matched,"Lightning Spec","Spec","spec/Anchor Products Guide Spec U2000 U3000 REV 2.00.docx","https://anchor-sales-copilot.vercel.app/api/public/doc?path=spec%2FAnchor%20Products%20Guide%20Spec%20U2000%20U3000%20REV%202.00.docx"
matched,"Pipe Securement Spec","Spec","spec/Anchor Products Guide Spec U2000 U3000 REV 2.00.docx","https://anchor-sales-copilot.vercel.app/api/public/doc?path=spec%2FAnchor%20Products%20Guide%20Spec%20U2000%20U3000%20REV%202.00.docx"
matched,"Roof Ladder Data Sheet","Data Sheet","solutions/roof-ladder/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-ladder%2Fdata-sheet.pdf"
matched,"Roof Ladder Installation Sheet","Installation Sheet","solutions/roof-ladder/install-manual.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-ladder%2Finstall-manual.pdf"
matched,"Roof Ladder Sales Sheet","Sales Sheet","solutions/roof-ladder/sales-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-ladder%2Fsales-sheet.pdf"
matched,"Roof Ladder Spec","Spec","spec/Anchor Products Guide Spec U2000 U3000 REV 2.00.docx","https://anchor-sales-copilot.vercel.app/api/public/doc?path=spec%2FAnchor%20Products%20Guide%20Spec%20U2000%20U3000%20REV%202.00.docx"
matched,"Roof Ladder Step File","Step File","solutions/roof-ladder/assembly.step","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-ladder%2Fassembly.step"
matched,"Roof Mounted Box Data Sheet","Data Sheet","solutions/roof-box/data-sheet.pdf","https://anchor-sales-copilot.vercel.app/api/public/doc?path=solutions%2Froof-box%2Fdata-sheet.pdf"
